epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56177,0.84276,1.99583,1.22688,0.25848,0.92081,0.46324,0.25081,1.59462,12.6342,2.3263,0.0006,0.0006,0.0806
2,2.87716,0.47156,0.81465,0.97837,0.54441,0.43608,0.51028,0.30693,1.23973,12.3336,2.4258,0.00121985,0.00121985,0.0602199
3,4.16996,0.43412,0.66039,0.9877,0.67206,0.76346,0.67832,0.3902,1.08785,16.6452,2.07763,0.00182931,0.00182931,0.0398293
4,5.46752,0.43059,0.64493,0.95505,0.21226,0.81134,0.3311,0.19829,2.12219,32.7371,3.82718,0.00242837,0.00242837,0.0194284
5,6.77698,0.42644,0.66483,0.98185,0.2501,0.78727,0.40337,0.19317,1.33142,23.696,2.22916,0.002901,0.002901,0.002901
6,8.04989,0.38534,0.65975,0.95161,0.24985,0.67236,0.37521,0.13397,2.06386,8.1909,3.19851,0.00287625,0.00287625,0.00287625
7,9.32476,0.39084,0.58444,0.96638,0.82577,1,0.98413,0.75412,0.54238,1.32626,1.31283,0.0028515,0.0028515,0.0028515
8,10.6058,0.35961,0.50043,0.91783,0.62545,0.8869,0.83526,0.6331,0.81773,2.13843,1.49979,0.00282675,0.00282675,0.00282675
9,11.8713,0.33276,0.50094,0.92449,0.90602,0.96429,0.99063,0.86391,0.47137,0.77371,1.20464,0.002802,0.002802,0.002802
10,13.1727,0.33415,0.52607,0.92305,0.83309,0.98916,0.99437,0.87225,0.48974,0.8539,1.15165,0.00277725,0.00277725,0.00277725
11,14.4654,0.32812,0.68457,0.95326,0.88242,0.96429,0.98037,0.75385,0.52657,1.09679,1.19505,0.0027525,0.0027525,0.0027525
12,15.7345,0.30244,0.42376,0.91683,0.90966,0.96357,0.99219,0.89831,0.41674,0.54491,1.1169,0.00272775,0.00272775,0.00272775
13,17.0188,0.29776,0.47738,0.9246,0.90545,0.98236,0.97756,0.89452,0.47299,0.5832,1.13527,0.002703,0.002703,0.002703
14,18.2747,0.27446,0.42429,0.91115,0.94171,0.94959,0.995,0.93956,0.32002,0.37803,1.02511,0.00267825,0.00267825,0.00267825
15,19.5553,0.3589,0.5068,0.98173,0.9337,0.98559,0.99348,0.92688,0.38201,0.4439,1.05337,0.0026535,0.0026535,0.0026535
16,20.8195,0.27393,0.39813,0.91135,0.83735,0.95652,0.92373,0.79475,0.40284,0.67503,1.08857,0.00262875,0.00262875,0.00262875
17,22.0832,0.25561,0.37284,0.89878,0.97131,0.9808,0.995,0.92736,0.35873,0.40583,1.0537,0.002604,0.002604,0.002604
18,23.3416,0.28716,0.37983,0.91048,0.96345,0.99609,0.995,0.9381,0.35402,0.33794,1.04163,0.00257925,0.00257925,0.00257925
19,24.6014,0.28193,0.40228,0.90941,0.93074,0.97301,0.995,0.89707,0.33244,0.47831,1.02702,0.0025545,0.0025545,0.0025545
20,25.8628,0.26602,0.40919,0.91321,0.83579,1,0.99457,0.84202,0.43714,0.58661,1.09797,0.00252975,0.00252975,0.00252975
21,27.1201,0.27362,0.40502,0.90633,0.95751,0.91168,0.96468,0.92144,0.3341,0.40221,1.041,0.002505,0.002505,0.002505
22,28.3943,0.37711,0.51033,1.00845,0.97473,1,0.995,0.97353,0.26729,0.30416,1.00603,0.00248025,0.00248025,0.00248025
23,29.6812,0.2668,0.40229,0.91691,0.97418,1,0.995,0.96734,0.28141,0.31454,1.00228,0.0024555,0.0024555,0.0024555
24,30.9601,0.24793,0.35642,0.90373,0.99218,1,0.995,0.94066,0.2923,0.31594,1.02839,0.00243075,0.00243075,0.00243075
25,32.2373,0.24391,0.34021,0.89846,0.98655,1,0.995,0.96346,0.23946,0.33372,0.99468,0.002406,0.002406,0.002406
26,33.4999,0.24305,0.33127,0.89601,0.91936,0.99553,0.99479,0.95777,0.27256,0.46596,1.00324,0.00238125,0.00238125,0.00238125
27,34.7891,0.23471,0.34236,0.89365,0.98992,1,0.995,0.97806,0.23641,0.26076,0.98561,0.0023565,0.0023565,0.0023565
28,36.0942,0.21655,0.29801,0.88972,0.96598,0.99721,0.995,0.98958,0.20932,0.27041,0.97289,0.00233175,0.00233175,0.00233175
29,37.3918,0.22543,0.29082,0.89569,0.97895,1,0.995,0.98347,0.23833,0.28501,0.98015,0.002307,0.002307,0.002307
30,38.6786,0.22879,0.30047,0.89107,0.96644,1,0.995,0.94266,0.26823,0.33251,1.0117,0.00228225,0.00228225,0.00228225
31,39.9503,0.23517,0.3388,0.88955,0.98912,1,0.995,0.91625,0.26416,0.31503,1.00279,0.0022575,0.0022575,0.0022575
32,41.2376,0.39275,0.40781,1.06459,0.98618,0.99826,0.995,0.95204,0.2694,0.31695,1.00318,0.00223275,0.00223275,0.00223275
33,42.5166,0.22685,0.31039,0.90154,0.97831,1,0.995,0.99428,0.23591,0.26766,0.97946,0.002208,0.002208,0.002208
34,43.8142,0.21314,0.28066,0.89338,0.9886,1,0.995,0.98091,0.22485,0.25411,0.97516,0.00218325,0.00218325,0.00218325
35,45.0923,0.23096,0.30198,0.88536,0.97845,0.98961,0.995,0.9657,0.21846,0.34073,0.98243,0.0021585,0.0021585,0.0021585
36,46.3756,0.23199,0.40339,0.91041,0.98311,0.98993,0.995,0.95812,0.27414,0.36406,1.00509,0.00213375,0.00213375,0.00213375
37,47.6579,0.21793,0.34915,0.89812,0.95329,1,0.9933,0.9613,0.24246,0.32985,1.00162,0.002109,0.002109,0.002109
38,48.9453,0.21181,0.30691,0.88449,0.97018,1,0.995,0.97185,0.23565,0.32898,0.99027,0.00208425,0.00208425,0.00208425
39,50.2336,0.20733,0.28766,0.89382,0.98552,0.99457,0.99489,0.95238,0.25042,0.30437,0.99968,0.0020595,0.0020595,0.0020595
40,51.5078,0.2168,0.33104,0.89647,0.98328,1,0.995,0.9861,0.20698,0.24963,0.97567,0.00203475,0.00203475,0.00203475
41,52.788,0.22368,0.28879,0.8914,0.991,1,0.995,0.97444,0.26759,0.28684,0.98246,0.00201,0.00201,0.00201
42,54.075,0.22731,0.30206,0.90256,0.99294,1,0.995,0.995,0.18771,0.25063,0.96321,0.00198525,0.00198525,0.00198525
43,55.3875,0.20967,0.26976,0.87902,0.99001,1,0.995,0.97287,0.20727,0.26714,0.96712,0.0019605,0.0019605,0.0019605
44,56.6793,0.20643,0.25681,0.89503,0.99244,1,0.995,0.98752,0.21816,0.27257,0.9685,0.00193575,0.00193575,0.00193575
45,57.9693,0.21803,0.26259,0.88832,0.98496,1,0.99202,0.97789,0.2018,0.27425,0.96755,0.001911,0.001911,0.001911
46,59.2538,0.19936,0.25473,0.8916,0.99056,1,0.995,0.97402,0.23208,0.28105,0.97304,0.00188625,0.00188625,0.00188625
47,60.5491,0.20301,0.27158,0.89983,0.99142,1,0.995,0.99262,0.19753,0.24215,0.95991,0.0018615,0.0018615,0.0018615
48,61.8456,0.19051,0.25939,0.89288,0.98814,1,0.995,0.9895,0.2057,0.22394,0.95822,0.00183675,0.00183675,0.00183675
49,63.1396,0.19267,0.24687,0.88008,0.95996,1,0.99489,0.98481,0.19508,0.27709,0.96489,0.001812,0.001812,0.001812
50,64.4296,0.19767,0.37045,0.90237,0.97684,1,0.995,0.97842,0.20423,0.27079,0.97242,0.00178725,0.00178725,0.00178725
51,65.7218,0.19137,0.26387,0.88614,0.92231,0.98623,0.98321,0.95596,0.17885,0.32066,0.9703,0.0017625,0.0017625,0.0017625
52,67.016,0.19436,0.27017,0.89013,0.8836,0.99457,0.98268,0.92317,0.22389,0.41794,0.97637,0.00173775,0.00173775,0.00173775
53,68.3081,0.18987,0.26898,0.88476,0.93921,1,0.99479,0.9853,0.26467,0.31557,0.97952,0.001713,0.001713,0.001713
54,69.6011,0.1941,0.25991,0.89222,0.98734,1,0.995,0.98293,0.20282,0.24627,0.95944,0.00168825,0.00168825,0.00168825
55,70.8923,0.20611,0.27962,0.89236,0.92168,1,0.985,0.97071,0.22784,0.36385,0.9854,0.0016635,0.0016635,0.0016635
56,72.1851,0.18089,0.23913,0.8827,0.98971,1,0.995,0.995,0.19326,0.23323,0.96416,0.00163875,0.00163875,0.00163875
57,73.5082,0.18942,0.26616,0.88635,0.99288,1,0.995,0.98352,0.21744,0.2464,0.97073,0.001614,0.001614,0.001614
58,74.7985,0.19124,0.25867,0.8971,0.97989,1,0.995,0.991,0.19546,0.22414,0.95762,0.00158925,0.00158925,0.00158925
59,76.0978,0.19469,0.2814,0.88365,0.98977,1,0.995,0.991,0.17539,0.19941,0.9536,0.0015645,0.0015645,0.0015645
60,77.384,0.18317,0.25989,0.88062,0.98521,1,0.995,0.98675,0.21544,0.23851,0.96047,0.00153975,0.00153975,0.00153975
61,78.6837,0.19606,0.23387,0.87268,0.98637,1,0.995,0.9944,0.16164,0.20235,0.94641,0.001515,0.001515,0.001515
62,79.9877,0.18406,0.26479,0.89101,0.98204,1,0.995,0.96635,0.20406,0.24177,0.95832,0.00149025,0.00149025,0.00149025
